Company_Brand,Sector,Stage,BIO,Year,HeadQuarter,Amount($)
Xplorabox,Education,Seed,Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,2018,Noida,
Myra,Health Care,Series,Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,2018,Bangalore,8750000.0
Vokal,Internet Services,Series,India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,2018,Bengaluru,1500000.0
Kissht,Financial Services,Series,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",2018,Mumbai,30000000.0
Upwards Fintech,Internet Services,Series,Upwards Fintech financial company.,2018,Mumbai,5000000.0
Bon(Bonfleet Solutions),Financial Services,Seed,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",2018,Pune,78000000.0
Mamaearth,Health Care,Series,Mamaearth is an online retailer specializing in baby and toddler products.,2018,Gurgaon,4000000.0
BabyChakra,Technology,Series,BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,2018,Mumbai,
Belstar Investment and Finance Private Limited,Financial Services,Series,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,2018,Chennai,28000000.0
Naaptol,E-Commerce,Series,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",2018,Mumbai,15000000.0
Moonshine Meadery,Food and Beverage,Seed,Moonshine Meadery is a first craft meadery.,2018,Pune,
Verzeo,E-Learning,Series,Verzeo is anAI-focussed edtech startup.,2018,Bangalore,5000000.0
Haazri,"Food and Beverage, Snack Food, Tea",Seed,Haazri is a tea and snack quick service restaurant startup,2018,Mumbai,12500000.0
Connect India,E-Commerce,Angel,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",2018,Delhi,
Flyrobe,"Fashion, Lifestyle, Rental",Series,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,2018,Mumbai,264000000.0
Scholify,—,Seed,Edutech,2018,Bengaluru,
Dream11,"Fantasy Sports, Mobile, Sports",Series,"Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",2018,Mumbai,100000000.0
srJna,Education,Seed,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",2018,Jaipur,
Nykaa,"Beauty, Fashion, Wellness",Secondary Market,Nykaa.com is a premier online beauty and wellness destination,2018,Mumbai,1130000000.0
Chaayos,"Food and Beverage, Restaurants, Tea",Series,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,2018,Delhi,810000000.0
Heelium,"Fitness, Sporting Goods, Sports",Seed,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,2018,Pune,
LT Foods,"Food and Beverage, Food Processing, Manufacturing",Equity,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,2018,Delhi,1400000000.0
Multibashi,Internet Services,Seed,Free language learning platform.,2018,Bengaluru,10000000.0
Cleardekho,Internet Services,Series,Uttar Pradesh based online eyewear marketplace.,2018,Ghaziabad,
Dailyhunt,Technology,Series,NewsHunt is a Bangalore based eBooks company.,2018,Bangalore,6000000.0
SlicePay,Internet Services,Series,SlicePay is an AI based instant credit app for youngsters in India.,2018,Bengaluru,14900000.0
Udaan,Internet Services,Series,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",2018,Bangalore,225000000.0
Happyeasygo Group,"Tourism, Travel",Series,HappyEasyGo is an online travel domain.,2018,Haryana,
Mombay,Internet Services,Seed,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,2018,Mumbai,7500.0
Droni Tech,Technology,Seed,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,2018,Mumbai,35000000.0
Netmeds,Health Care,Series,Welcome to India's most convenient pharmacy!,2018,Chennai,35000000.0
Bombay Shaving,Ecommerce,Undisclosed,Provides a range of male grooming products,2019,,6300000.0
Ruangguru,Edtech,Series,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",2019,Mumbai,150000000.0
Eduisfun,Edtech,Seed,It aims to make learning fun via games.,2019,Mumbai,28000000.0
HomeLane,Interior design,Series,Provides interior designing solutions,2019,Chennai,30000000.0
Nu Genes,Technology,Undisclosed,"It is a seed company engaged in production, processing and marketing of seeds",2019,Telangana,6000000.0
FlytBase,Technology,Undisclosed,A drone automation platform,2019,Pune,
Finly,Internet Services,Undisclosed,"It builds software products that makes work simpler, pleasant, and productive",2019,Bangalore,
Kratikal,Technology,Series,It is a product-based cybersecurity solutions provider,2019,Noida,1000000.0
Quantiphi,Artificial intelligence,Series,It is an AI and big data services company providing business solutions.,2019,,20000000.0
Lenskart,E-commerce,Series,It is a eyewear company,2019,Delhi,275000000.0
Cub McPaws,E-commerce & AR,Undisclosed,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,2019,Mumbai,
Appnomic,Internet Services,Undisclosed,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",2019,Bangalore,22000000.0
Kaleidofin,Fintech,Series,Platform that provides complete financial solutions for excluded individuals and households,2019,Chennai,5000000.0
JobSquare,HR tech,Undisclosed,Technology-based platform that is connecting suitable applicants to the right recruiters,2019,Ahmedabad,140500.0
Open Secret,Food tech,Undisclosed,It produces and sells top quality snacks,2019,,
LivFin,Fintech,Undisclosed,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",2019,Delhi,5000000.0
Byju's,Edtech,Undisclosed,Provides online learning classes,2019,,540000000.0
Zest Money,Fintech,Series,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019,Bangalore,15000000.0
Witblox,Edtech,Undisclosed,Offers a range of robotics learning tools,2019,,182700.0
Azah Personal Care Pvt. Ltd.,Health Care,Series,Aims to solve some problems in the feminine hygiene sector,2019,Gurugram,
SalaryFits,Fintech,Undisclosed,A platform that promotes financial well-being of employees at workplace,2019,,5000000.0
Pristyn Care,Health Care,Series,Delivers advanced medical care & clinical excellence aided by next-level technology,2019,,12000000.0
Springboard,Edtech,Series,Offers online courses and extensive mentor-based learning,2019,,11000000.0
DROR Labs Pvt. Ltd,Safety tech,Undisclosed,It uses technology to create a trust-based network of responsible citizens to ensure safety,2019,Delhi,
Medlife,Pharmaceutical,Undisclosed,It solves inadequacies in the healthcare delivery system through technology,2019,Bangalore,15500000.0
Seekify,Internet Services,Seed,Customer Experience (CX) Automation platform,2019,Delhi,1500000.0
Toffee Insurance,Insurance technology,Series,Provides variety of insurance plans and policies,2019,Haryana,5500000.0
Fireflies .ai,Artificial intelligence,Undisclosed,Developer of an artificial intelligence-powered assistant for businesses,2019,,5000000.0
HungerBox,Foodtech,Series,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2019,Bangalore,12000000.0
Bijak,Technology,Seed,B2B platform for agricultural commodities.,2019,,2500000.0
Licious,Food,Series,Online meat shop,2019,Bangalore,30000000.0
truMe,IoT,Undisclosed,A global platform for Identity and Access Management,2019,,140000.0
Pumpkart,E-marketplace,Undisclosed,B2B model for appliances and electrical products,2019,Chandigarh,
Asteria Aerospace,Artificial intelligence,Undisclosed,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",2019,Bangalore,230000000.0
Rivigo,Logistics,Series,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2019,,20000000.0
HappyEasyGo,Travel,Series,Online flight booking,2019,Gurugram,49400000.0
Zetwerk,Manufacturing,Series,Provides facilities to get products manufactured.,2019,Bangalore,32000000.0
Observe.AI,Artificial intelligence,Series,Creates a voice AI platform,2019,Bangalore,26000000.0
Freshokartz,E-marketplace,Series,Online fruits and vegetables delivery company,2019,Jaipur,150000.0
Lil’ Goodness and sCool meal,Food & Nutrition,Undisclosed,It empowers moms to provide the best of foods to their Lil' ones,2019,Bangalore,400000.0
Trell,Social Media,Series,Blogging platform that enables people to create visual collections of their travel and local experiences,2019,Bangalore,2000000.0
VMate,Unknown,Undisclosed,A short video platform,2019,,100000000.0
Bombay Shirt Company,E-commerce,Undisclosed,Online custom shirt brand,2019,Mumbai,8000000.0
Slintel,Internet Services,Undisclosed,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",2019,,1500000.0
MyGameMate,E-Sports,Undisclosed,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019,Bangalore,100000.0
Afinoz,Fintech,Undisclosed,Online financial marketplace for customized rate quotes on loans and investment products in India,2019,Noida,
Rein Games,Technology,Series,"It develops, publishes and distributes games across various platforms",2019,Noida,50000000.0
Ecozen,Technology,Series,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019,Pune,6000000.0
Box8,Foodtech,Undisclosed,Enables to order food online,2019,Mumbai,120000000.0
Awign Enterprises,Unknown,Series,It supplies workforce to the economy,2019,Bangalore,4000000.0
Purplle,Cosmetics,Series,Online makeup and beauty products retailer,2019,Mumbai,30000000.0
Freightwalla,B2B,Series,Provides digital platform for businesses to plan and manage their international freight shipments online,2019,Mumbai,4000000.0
TapChief,Unknown,Series,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019,Bangalore,1500000.0
eJOHRI,Jewellery,Series,Omnichannel marketplace for gems and jewellery,2019,Mumbai,1000000.0
Ninjacart,B2B Supply Chain,Undisclosed,"It connects producers of food directly to retailers, restuarants and service providers.",2019,,
Binca Games,Games,Undisclosed,It offers games that are available across India and UK.,2019,Mumbai,
KredX,Unknown,Series,Invoice discounting platform,2019,Bangalore,26000000.0
m.Paani,Unknown,Series,It digitizes and organises local retailers,2019,Mumbai,5500000.0
Origo,Technology,Undisclosed,It provides post-harvest management services for agricultural commodities,2019,Gurugram,6800000.0
WishADish,Food & tech,Undisclosed,Provides management solution for restaurants,2019,Delhi,6000000.0
Ecom Express,Logistics,Undisclosed,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2019,Gurugram,36000000.0
Stanza Living,Accomodation,Undisclosed,Provides comfortable and secure accomodation for students,2019,Delhi,5700000.0
PiBeam,Automotive tech,Undisclosed,It is engaged in building sustainable and affordable micro-mobility electric vehicles,2019,Chennai,50000000.0
Euler Motors,Automotive tech,Undisclosed,It is offering mobility as a service,2019,Delhi,2000000.0
Moms Co,E-commerce,Series,It is into mother and baby care-focused consumer goods,2019,Delhi,5000000.0
Cubical Labs,IoT,Series,Home automation solution provider,2019,,
Lawyered,Legal tech,Undisclosed,It helps to connect to legal advise online,2019,Delhi,100000.0
Cuemath,Edtech,Undisclosed,It helps students to learn math online,2019,Bangalore,5500000.0
Licious,Food,Series,Online meat shop,2019,Bangalore,25000000.0
Nivesh.com,Mutual Funds,Undisclosed,The platform simplifies the process of investment,2019,Noida,600000.0
Zebu,Cybersecurity,Seed,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",2019,,4000000.0
Smart Institute,Edtech,Undisclosed,A platform to learn online,2019,Surat,1500000.0
CarDekho,Automobile,Series,Enables people to buy and sell new/old cars.,2019,Jaipur,70000000.0
Shadowfax,Logistics,Series,A platform for delivery services,2019,Bangalore,60000000.0
Credr,Automobile,Undisclosed,A marketplace to buy and sell used bikes and scooters,2019,Mumbai,6000000.0
Sportido,Sports,Series,It is a sports discovery app that helps to find people and places to play 700+ sports,2019,Noida,
Phable,Health Care,Undisclosed,"It creates an engagement loop between doctors, hospitals, and patients via its app",2019,,220000.0
Sarva,Yoga & wellness,Undisclosed,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2019,Chennai,2800000.0
IndyFint,Virtual Banking,Series,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019,Bangalore,2100000.0
Zolostays,Accomodation,Undisclosed,It offers affordable housing apartments to young professionals and students,2019,,7000000.0
Ola,Transport Services,Undisclosed,It enables one to book cab online,2019,Bangalore,311000000.0
Zoomcar,Transport & Rentals,Undisclosed,A car rental service platform,2019,Bangalore,4800000.0
Kratikal,Technology,Series,Provides cyber security solutions,2019,Uttar pradesh,1000000.0
Froogal,Marketing Services,Series,A cloud based Customer Loyalty & Engagement Platform,2019,Hyderabad,1000000.0
Infra.Market,Infratech,Series,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019,Mumbai,20000000.0
Oyo,Hospitality,Undisclosed,Provides rooms for comfortable stay,2019,Gurugram,693000000.0
GoMechanic,Technology,Series,Find automobile repair and maintenance service providers,2019,Delhi,5000000.0
Spinny,Automobile,Undisclosed,Online car retailer,2019,Delhi,50000000.0
Ess Kay Fincorp,Banking,Undisclosed,Organised Non-Banking Finance Company,2019,Rajasthan,33000000.0
Aqgromalin,Technology,Undisclosed,Cultivating Ideas for Profit,2020,Chennai,200000.0
Krayonnz,Technology,Seed,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020,Bangalore,100000.0
PadCare Labs,Hygiene management,Seed,Converting bio-hazardous waste to harmless waste,2020,Pune,
NCOME,Escrow,Undisclosed,Escrow-as-a-service platform,2020,Delhi,400000.0
Gramophone,Technology,Undisclosed,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020,Indore,340000.0
qZense,Technology,Seed,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020,Bangalore,600000.0
MyClassboard,Technology,Series,MyClassboard is a full-fledged School / College Management Software.,2020,Hyderabad,600000.0
Metvy,Networking platform,Series,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020,Gurgaon,
Rupeek,Technology,Series,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020,Bangalore,45000000.0
Gig India,Crowdsourcing,Series,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020,Pune,1000000.0
Slurrp Farm,Food & Bevarages,Series,Slurrp Farm is a children health food brand.,2020,Gurgaon,2000000.0
Medfin,Health Care,Series,Medfin is a Discovery platform for medical procedures and financing.,2020,Bangalore,
MasterG,Fashion startup,Undisclosed,MasterG is a design and skill development organisation.,2020,Delhi,
Brila 91,Food & Bevarages,Undisclosed,Bira 91 is a craft beer company.,2020,Delhi,1200000.0
FoodyBuddy,Food Industry,Undisclosed,FoodyBuddy is a online food delivery portal,2020,Belgaum,600000.0
Zomato,Food Delivery,Undisclosed,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020,Gurgaon,660000000.0
OurEye.ai,Virtual auditing startup,Undisclosed,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,Bangalore,120000.0
Shiprocket,E-commerce,Series,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020,Delhi,7500000.0
Pine Labs,Technology,Undisclosed,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020,Noida,
Moneyboxx Finance,Technology,Undisclosed,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020,Delhi,1000000.0
EWar,Gaming,Series,EWar Games is a e-sports and real-time gaming start-up.,2020,Bangalore,
SucSEED Indovation,Technology,Undisclosed,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020,Hyderabad,5000000.0
TaxBuddy.com,Technology,Undisclosed,TaxBuddy for any tax related issues.,2020,Mumbai,1000000.0
Awign Enterprises,Work fulfillment,Undisclosed,Operations and manpower outsourcing startup,2020,Bangalore,500000.0
Circle of Angels,Technology,Undisclosed,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020,Gurgaon,3000000.0
CoinDCX,Technology,Series,CoinDCX is a company that specializes in crypto-enabled financial services.,2020,Mumbai,10000000.0
Glance,Artificial intelligence,Undisclosed,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,Bangalore,145000000.0
VerSe Innovation,Telecommunication,Undisclosed,Owner of Dailyhunt App and I-Pay,2020,Bangalore,100000000.0
Voosh,Food Industry,Seed,Building India's largest digital food service brand,2020,Bangalore,
Delhivery,E-commerce,Undisclosed,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020,Gurgaon,
Arya,Technology,Series,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020,Noida,21000000.0
Pickrr,Logistics,Undisclosed,Pickrr is an on-demand first mile logistics company,2020,Delhi,4000000.0
PhonePe,Technology,Undisclosed,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020,Andheri,20000000.0
Countingwell,Technology,Series,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020,Bangalore,1000000.0
Callify.ai,Technology,Seed,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020,Mumbai,560000.0
Hudle,Sports,Series,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020,Delhi,
Cover it Up,E-commerce,Seed,Online portal that churns out high quality products,2020,Chennai,400000.0
BiteSpeed,E-commerce,Seed,Chat-based commerce for E-commerce brands,2020,Gurgaon,275000.0
WakeFit,Retail,Series,Wakefitkart is a mattress manufacturing company,2020,Bangalore,20000000.0
Sreyas Holistic Remedies,Medtech,Undisclosed,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020,Hyderabad,1000000.0
Fleeca India,Tyre management,Undisclosed,FLEECA is a Tyre Care Provider company.,2020,Jaipur,
M1xchange,Technology,Undisclosed,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020,Gurgaon,4500000.0
Exotel,Cloud company,Undisclosed,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020,Bangalore,5000000.0
PagarBook,Technology,Series,"Staff's Salary, Work & Attendance Management Application",2020,Bangalore,15000000.0
PointOne Capital,Venture capitalist,Undisclosed,Pre-seed/Seed focussed VC investor,2020,Bangalore,
Ayana,Renewable player,Undisclosed,Ayana Renewable Power is an Indian renewable energy platform,2020,Bangalore,390000000.0
Fisdom,Technology,Undisclosed,Fisdom is a fintech company that offers investment advisory services through an application.,2020,Bangalore,7000000.0
Tinker Coders,Technology,Seed,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,Noida,
Infinite Uptime,IoT startup,Series,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,Pune,5100000.0
HappyLocate,Internet Services,Series,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,Bangalore,500000.0
PhonePe,Technology,Undisclosed,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,Delhi,700000000.0
Loop Health,Health Care,Seed,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,Pune,2300000.0
NeoDocs,Health Care,Seed,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,Mumbai,
The ePlane,Aero company,Seed,Transforming the mobility landscape using aerial transport.,2020,Chennai,
TagMango,Marketing Services,Seed,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,Mumbai,700000.0
The New Shop,Retail startup,Seed,The New Shop is a chain of high speed retail stores,2020,Delhi,500000.0
MobiKwik,Technology,Undisclosed,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,Gurgaon,7000000.0
DebugsBunny,Technology,Undisclosed,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,Pune,100000.0
BHIVE Investech,Co-working Startup,Seed,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,Bangalore,1000000.0
Rivigo,Logistics,Undisclosed,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,Gurgaon,19000000.0
ZipLoan,Financial Services,Undisclosed,ZipLoan is a online lending platform,2020,Delhi,3000000.0
Swipez,Technology,Undisclosed,Swipez is a payment collection platform.,2020,Pune,
Humus,Technology,Undisclosed,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,Bangalore,
Artivatic.ai,Technology,Undisclosed,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,Bangalore,
Prescinto,Solar Monitoring Company,Seed,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,Ahmedabad,
Toppeq,Internet Services,Seed,SaaS-based equity management platform,2020,Mumbai,
Bolo Indya,Video sharing platform,Undisclosed,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,Gurgaon,400000.0
Bombay Play,Gaming startup,Seed,Bombay Play is a Card and Toy Company Making games for India.,2020,Bangalore,1000000.0
FreshToHome,E-commerce,Undisclosed,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Bangalore,
KIKO TV,Video streaming platform,Seed,KIKO TV is an AI-based short live video e-commerce platform.,2020,Mumbai,
Atomberg Technologies,Consumer appliances,Series,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,Mumbai,9000000.0
DealShare,E-commerce,Series,DealShare is a Social Commerce Startup,2020,Jaipur,21000000.0
Smallcase,Technology,Undisclosed,Changing how India invests in equities,2020,Bangalore,
CueMath,Technology,Series,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,Bangalore,40000000.0
Gamerji,Gaming startup,Seed,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,Ahmedabad,
5C Network,Health Care,Series,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,Bangalore,1200000.0
Ethereum Push Notification Service,Blockchain startup,Seed,EPNS is a decentralized notification protocol,2020,Mumbai,750000.0
Mihup,Artificial intelligence,Series,Intelligence-based personal mobile assistant app,2020,Kolkata,1500000.0
RuralBasket,E-commerce,Undisclosed,Naturally grown and healthy products directly from farmers.,2020,"Tirunelveli, Tamilnadu",500000.0
WayCool Foods,Technology,Dept,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,Chennai,7800000.0
Infra.Market,Real Estate,Series,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,Thane,20000000.0
Info Edge Venture,Venture capitalist,Undisclosed,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,Noida,50000000.0
Clovia,E-commerce,Series,Clovia is the online lingerie retailer,2020,Noida,4000000.0
Codingal,Technology,Seed,Coding education platform for K-12 students,2020,Bangalore,560000.0
CRED,Financial Services,Series,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,Bangalore,80000000.0
Vistaar Finance,Financial Services,Undisclosed,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,Bangalore,30000000.0
Let's Dive,Internet Services,Undisclosed,A platform for remote employee engagement and building team culture,2020,Bangalore,1700000.0
Habitat,Technology,Seed,"Habitat, a social learning edtech platform for civil service aspirants",2020,Undisclosed,600000.0
SAWO Labs,Internet Services,Seed,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,Mumbai,600000.0
Signzy,Artificial intelligence,Undisclosed,Signzy are creating 'building blocks for a Digital Trust system.,2020,Bangalore,3000000.0
KopyKitab,Technology,Undisclosed,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,Bangalore,
Kyt,Technology,Undisclosed,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,Singapore,2500000.0
Raskik,Fusion beverages,Series,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,Undisclosed,1000000.0
GetWork,Technology,Seed,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,Gurugram,40000.0
Mobile Premier League (MPL),Gaming,Series,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,Bangalore,500000.0
Pravasirojgar,Job portal,Undisclosed,Initiative for blue-collar job workers,2020,Undisclosed,33000000.0
Omatra Hotels,Hospitality,Seed,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,Kolkata,
Awign,Job portal,Series,Operations and manpower outsourcing startup,2020,Bangalore,
NewsReach,Digital Media,Seed,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,Gujarat,1500000.0
Cashfree,Technology,Series,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,Bangalore,35000000.0
Credgenics,Technology,Series,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,Delhi,3000000.0
GeoIQ,Artificial intelligence,Seed,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,Bangalore,300000.0
Country Delight,Dairy startup,Series,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,Dhingsara,25000000.0
Quintype,Content management,Series,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,Bangalore,3500000.0
CARS24,Retail,Series,CARS24 is an India-based platform for selling used cars.,2020,Dhingsara,200000000.0
Astrogate Labs,Spacetech,Undisclosed,Astrogate Labs provides high-quality products related to space infrastructure.,2020,Bangalore,
Power Gummies,Health Care,Bridge,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,Delhi,
Cityflo,Transport Services,Series,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,Mumbai,7000000.0
AlgoBulls,Trading platform,Undisclosed,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,Mumbai,200000.0
Credgenics,Technology,Series,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,Gurugram,3000000.0
Inntot,Technology,Undisclosed,"Inntot Technologies, is a technology driven company.",2020,Kerala,
Ensuredit,Technology,Series,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,Gurugram,300000.0
Shipsy,Artificial intelligence,Series,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,Gurugram,6000000.0
ERPNext,Technology,Undisclosed,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,Mumbai,1000000.0
LightSpeedAI,Photonics startup,Undisclosed,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,Bangalore,
Grip Invest,Technology,Series,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,Gurugram,
Unacademy,Technology,Undisclosed,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,Bangalore,
Yellow Classes,Technology,Series,New-age fun-learning platform for kids.,2020,Gurugram,1300000.0
Plum,Health Care,Undisclosed,High quality health insurance and health benefits,2020,Bangalore,4100000.0
STAGE,Entertainment,Undisclosed,STAGE is an Indian language content platform for artist-led entertainment.,2020,Indore,1000000.0
Nykaa,Cosmetics,Undisclosed,Nykaa is an online marketplace for different beauty and wellness products.,2020,Mumbai,
Kaagaz Scanner,Scanning app,Undisclosed,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,Undisclosed,575000.0
NIRA,Technology,Undisclosed,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,Bangalore,1000000.0
Prolixr,Skincare startup,Seed,A premium skincare brand committed towards building innovative skin care wellness.,2020,Gurugram,
Byju's,Technology,Undisclosed,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,Bangalore,200000000.0
DaMENSCH,E-commerce,Undisclosed,DaMENSCH is a designer and seller of men's apparel.,2020,Bangalore,6000000.0
